task,method,seed,regret_auc,final_best,final_top50,final_top10pct
emass_min,dkl_finetune,19,1.0550455098320575,-1.9876555344978155,16,24
emass_min,dkl_finetune,20,1.922413262340994,-0.9959435007672428,3,6
emass_min,dkl_finetune,21,1.0513425472664952,-1.9876555344978155,15,19
emass_min,dkl_finetune,22,1.3627943793574508,-1.4980987198169655,14,21
emass_min,dkl_finetune,23,1.3916586397152626,-1.4980987198169655,16,20
emass_min,dkl_finetune,24,1.0888708952020656,-1.9876555344978155,21,24
emass_min,dkl_finetune,25,0.5717599412903995,-2.7985215224949846,26,32
emass_min,dkl_finetune,26,1.1282954564202372,-2.7985215224949846,20,25
emass_min,dkl_finetune,27,0.8017954439770217,-2.7985215224949846,22,30
emass_min,dkl_finetune,28,0.33038644062642114,-2.7985215224949846,17,21
emass_min,dkl_finetune,29,0.6274432599825474,-2.7985215224949846,20,26
emass_min,dkl_frozen,0,1.7323247431444897,-1.4701435723037242,10,16
emass_min,dkl_frozen,1,1.620646191129419,-1.4980987198169655,18,23
emass_min,dkl_frozen,2,1.0505829674729534,-1.9876555344978155,24,28
emass_min,dkl_frozen,3,0.2838979375460307,-2.7985215224949846,25,31
emass_min,dkl_frozen,4,1.4985014328696287,-1.5080763518312088,21,28
emass_min,dkl_frozen,5,1.377195810101616,-1.5080763518312088,19,22
emass_min,dkl_frozen,6,1.3059863649972383,-1.4980987198169655,22,25
emass_min,dkl_frozen,7,1.3283779501912603,-1.4701435723037242,11,16
emass_min,dkl_frozen,8,1.1937183137870293,-1.9876555344978155,27,34
emass_min,dkl_frozen,9,1.4966764282355605,-1.4116129842166991,12,18
emass_min,dkl_frozen,10,1.499502748590385,-1.5080763518312088,11,13
emass_min,dkl_frozen,11,1.180327181164327,-1.9876555344978155,14,21
emass_min,dkl_frozen,12,1.8566296766870947,-1.1019858541764167,7,12
emass_min,dkl_frozen,13,1.754568199604247,-1.4980987198169655,16,23
emass_min,dkl_frozen,14,1.5900907680091034,-1.4980987198169655,21,29
emass_min,dkl_frozen,15,1.647981598092656,-1.4980987198169655,10,12
emass_min,dkl_frozen,16,0.9138566452489829,-1.9876555344978155,26,30
emass_min,dkl_frozen,17,1.6811135508278112,-1.2387867818927916,12,21
emass_min,dkl_frozen,18,1.2259846197253195,-1.9876555344978155,22,26
emass_min,dkl_frozen,19,1.387329239693979,-1.4980987198169655,14,21
emass_min,dkl_frozen,20,1.7472135383230485,-1.4701435723037242,9,11
emass_min,dkl_frozen,21,1.526285473597116,-1.5080763518312088,15,20
emass_min,dkl_frozen,22,0.6135137434030971,-2.7985215224949846,18,22
emass_min,dkl_frozen,23,1.4560775706720086,-1.5080763518312088,19,25
emass_min,dkl_frozen,24,1.5377498751978107,-1.4980987198169655,15,23
emass_min,dkl_frozen,25,1.3310169050069751,-1.4980987198169655,14,19
emass_min,dkl_frozen,26,1.3376743340387487,-1.4980987198169655,15,22
emass_min,dkl_frozen,27,0.08320376240690784,-2.7985215224949846,6,13
emass_min,dkl_frozen,28,1.565348292516577,-2.7985215224949846,5,7
emass_min,dkl_frozen,29,1.4988758188732674,-1.9876555344978155,13,19
emass_min,random,0,1.371031490130311,-1.5080763518312088,8,12
emass_min,random,1,1.186807720273889,-1.9876555344978155,8,11
emass_min,random,2,1.4946794211869334,-1.4980987198169655,7,9
emass_min,random,3,1.290445170663776,-1.5080763518312088,10,14
emass_min,random,4,1.7050363020027623,-1.4116129842166991,6,8
emass_min,random,5,1.856854095778563,-1.2387867818927916,4,5
emass_min,random,6,1.503680424165425,-1.5080763518312088,9,11
emass_min,random,7,1.3283779501912603,-1.4701435723037242,13,15
emass_min,random,8,1.517361511389789,-1.281160011105196,8,10
emass_min,random,9,1.7247199488438003,-1.1019858541764167,4,10
emass_min,random,10,1.6646895485502125,-1.4116129842166991,9,10
emass_min,random,11,1.6258010226177908,-1.4701435723037242,9,16
emass_min,random,12,1.8996022229655491,-1.356435847503038,3,10
emass_min,random,13,1.2633869819298156,-2.7985215224949846,6,9
emass_min,random,14,1.335401674737511,-1.4701435723037242,7,9
emass_min,random,15,1.502164796781276,-1.4701435723037242,7,10
emass_min,random,16,1.6123361496842574,-1.4980987198169655,6,12
emass_min,random,17,1.6889605569695183,-1.1324266978998243,6,11
emass_min,random,18,1.800009954728605,-1.356435847503038,3,9
emass_min,random,19,1.4479114617211357,-1.4701435723037242,8,13
emass_min,random,20,1.875368722777516,-1.1972858507497235,3,5
emass_min,random,21,1.7011681813232025,-1.1972858507497235,8,10
emass_min,random,22,1.703489098368008,-1.147568192844293,4,7
emass_min,random,23,1.7458668299170026,-1.2387867818927916,9,11
emass_min,random,24,1.4563052832236267,-1.4980987198169655,7,7
emass_min,random,25,1.4184582188324382,-1.4701435723037242,9,11
emass_min,random,26,1.940951756854244,-0.862497350352922,4,7
emass_min,random,27,1.3351442768193278,-1.5080763518312088,11,14
emass_min,random,28,1.7870529306055243,-1.1324266978998243,14,17
emass_min,random,29,1.5340444456622913,-1.4116129842166991,5,8
emass_min,std_gp,0,1.5544269269735462,-1.9876555344978155,25,30
emass_min,std_gp,1,1.3857019821264054,-1.4980987198169655,13,18
emass_min,std_gp,2,2.0024074734325525,-1.1200350327605024,11,17
emass_min,std_gp,3,0.6194136819186123,-2.7985215224949846,21,23
emass_min,std_gp,4,1.4472100401086063,-1.5080763518312088,20,27
emass_min,std_gp,5,0.9356203697409734,-1.9876555344978155,16,17
emass_min,std_gp,6,1.0661035258036218,-1.9876555344978155,17,27
emass_min,std_gp,7,1.2912038262543257,-1.5080763518312088,13,22
emass_min,std_gp,8,1.2684040673239976,-2.7985215224949846,8,13
emass_min,std_gp,9,0.804959376624845,-2.7985215224949846,21,24
emass_min,std_gp,10,1.7778511011314075,-1.4701435723037242,8,15
emass_min,std_gp,11,1.1366480773017105,-1.9876555344978155,23,31
emass_min,std_gp,12,1.557578436296621,-1.4701435723037242,17,25
emass_min,std_gp,13,0.23789432731683732,-2.7985215224949846,11,11
emass_min,std_gp,14,1.1626255229884488,-1.9876555344978155,13,21
emass_min,std_gp,15,1.32392764840173,-1.5080763518312088,18,25
emass_min,std_gp,16,1.0869046968617693,-2.7985215224949846,15,20
emass_min,std_gp,17,1.311752531065803,-1.4980987198169655,20,28
emass_min,std_gp,18,0.38333185340289266,-2.7985215224949846,16,25
emass_min,std_gp,19,0.613706685753206,-2.7985215224949846,21,26
emass_min,std_gp,20,0.7771404094958985,-2.7985215224949846,19,23
emass_min,std_gp,21,1.74635964749668,-1.5080763518312088,7,10
emass_min,std_gp,22,0.9570143348564015,-1.9876555344978155,14,17
emass_min,std_gp,23,0.7663655600613589,-2.7985215224949846,19,23
emass_min,std_gp,24,1.6613892434841864,-1.5080763518312088,15,18
emass_min,std_gp,25,1.4856940929923337,-1.4980987198169655,16,21
emass_min,std_gp,26,1.502646955256428,-1.5080763518312088,21,29
emass_min,std_gp,27,1.3885884279991385,-1.4980987198169655,11,16
emass_min,std_gp,28,1.855523178262672,-1.4116129842166991,8,11
emass_min,std_gp,29,1.2908244984590507,-1.5080763518312088,20,23
gap_max,dkl_cold_live,0,1.906058757995993,7.021843569419415,17,24
gap_max,dkl_cold_live,1,2.2347203769235136,7.021843569419415,27,39
gap_max,dkl_cold_live,2,0.3788665370643104,8.68143673805662,21,27
gap_max,dkl_cold_live,3,2.1765818117541396,7.021843569419415,11,17
gap_max,dkl_cold_live,4,2.7297558691545625,6.800169884150914,21,34
gap_max,dkl_cold_live,5,1.00549079958803,8.68143673805662,22,33
gap_max,dkl_cold_live,6,2.0189389215911517,6.800169884150914,10,14
gap_max,dkl_cold_live,7,2.151533875707034,6.800169884150914,21,36
gap_max,dkl_cold_live,8,0.5344668060975165,8.68143673805662,21,30
gap_max,dkl_cold_live,9,0.713529414794825,8.68143673805662,26,31
